name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
SINDU JAYA,"Pasar Kenari Lama, RT.1/RW.3, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450",,,(021) 3101500,3,4.7
TOKO CINDY DAN FIGO,"RV42+J46, Terminal Pasar Senen, RT.2/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0822-6199-6969,,
Maju Jaya Sukses (Spesialis Label Panel Listrik),"Pasar Kenari Baru Lt.2 / B - 01, Kenari, Senen, Central Jakarta City, Jakarta 11430",,,0818-161-802,3,5.0
Airin Tekno Lestari,"Jl. Salemba Raya No.I No. 21, Kenari, Kec. Senen, Jakarta, Daerah Khusus Ibukota Jakarta 10430",,,0851-0263-0264,,
PT. Matra Computama,"Jl. Salemba Raya 75 RT 001%2F06 Kenari Senen Jakarta Pusat DKI Jakarta, RT.4/RW.6, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,(021) 3905439,,
Budi Mandiri Teknik,"Jl. Kramat Raya No. 101 Kenari Senen Jakarta Pusat DKI Jakarta, RT.16/RW.1, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 39841962,,
CV. Rusli Teknik Jaya,"1, Jl. Kenari 2 No.5, RT.1/RW.3, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0812-1854-2577,,
PT. Pratapa Nirmala,"Jl. Raden Saleh Raya No.4 10, RT.10/RW.1, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",fahrenheit.co.id,Yes,(021) 3903093,19,3.4
Aura Electrindo,"Plaza kenari mas lantai LG Blok B193, RT.11/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0812-8271-3675,,
Toko Rajawali Prima,"Jalan Kenari II No.178F2, RT.1/RW.3, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,No,(021) 3927241,1,5.0
Media Karya,"Plaza Kenari Mas, Jl. Kramat Raya No.101, RT.18/RW.1, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0813-2156-7525,,
Senen,"Jl. Prapatan I No.12, RT.3/RW.5, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",,,0856-1167-480,1,3.0
Industrial Equipment And Supplies,,,,0853-1479-4388,,
Install Adobe Mac,"Jl. Paseban Tim. No.450, RT.10/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,,,
