name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
PT. Datanet Integrasi Indonesia,"Jl. Tj. Duren Utara 4 No.65A, RT./RW:09/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",dainindo.com,Yes,(021) 29414654,4,4.0
Global International Foods,"Soho Capital Lantai 17 No. 3, Jl. Letjen S. Parman No.Kav. 28, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 10130",gif-seasoning.com,Yes,(021) 27893478,3,3.0
PT. Dian Lestari Sejahtera,"Jl. Tanjung Duren Barat IV No.1 9, RT.9/RW.5, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 5357569,13,3.6
Mitra Agung Abadi,"Jl. Tanjung Duren Raya No.365, RT.11/RW.2, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0851-7300-5522,,
PT. Ananta Multitech Internusa,"Mediterania Garden Residence 1 Tower Azalea Lt. 2 Unit AD 02, Jl. Tanjung Duren Raya No.03 Kav. 5-9, RT.2/RW.5, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0878-7708-779,,
PT. Swarna Adijaya,"Jl. Tanjung Duren Utara IIIA No.347, RT.7/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 53664554,,
PT CYCLESOFT TECHNOLOGY,"12, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",cyclesoft.co.id,Yes,0851-0085-5885,11,4.6
CV Baker Djaya Abadi,"Jl. Tj. Duren Timur III No.rt 008, RT.8/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 29414964,2,3.5
South East Islands,"Soho Capital Floor 32 Unit 7, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 29181359,4,5.0
Qonnectiq,"Soho Capital, Jl. Letjen S. Parman No.Kav. 28 Lt. 19, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 50105222,1,5.0
Deli and Co,"Jl. Tj. Duren Barat 1 No.12 6, RT.6/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0821-1181-2019,5,4.4
Sinar Jaya,"No. 54D Grogol Petamburan, Jl. Tj. Duren Barat No.1, RT.10/RW.4, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 5685927,,
PT Tekno Logika Utama,"Jl. Tanjung Duren Raya No.351 Kav.B, Jl. Tanjung Duren Raya, RT.7/RW.3, North Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",teknologika.biz,Yes,(021) 56981148,11,4.8
PT.Cipta Pratama Solusindo,"Jl. Tj. Duren Utara 4 No.230, RT.8/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",ciptaindo.co.id,Yes,(021) 22956939,3,4.3
BIT - PT Barito Integra Teknologi,"Soho Podomoro City, Letjen S. Parman St No.Kav 28, RT.3/RW.5, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",,,0815-1705-1234,,
Suplayer es kristal,"Jl. Tanjung Duren Timur No.79, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450",,No,0877-5253-4122,,
ORGAREN INDONESIA JAYA,"Ruko Sentra Bisnis, Blok C/16, RT.12/RW.2, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0817-800-808,,
"Nova Teknologi Awani, PT","Jalan Let Jend S Parman Kav 28, APL Office Tower 16th Floor Unit 9, Tanjung Duren Selatan, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",hellobill.id,Yes,0852-1010-2455,23,4.1
smartERP,"APL Tower, Central Park, Jl. Letjen S. Parman No.Kav 28, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Jakarta, Daerah Khusus Ibukota Jakarta 11470",,,0818-176-784,1,3.0
Miidel Indonesia,,kopoka.com,Yes,0812-2007-420,,
PT Linuxindo Total Solusi,"APL Tower, 21st floor Suite #2, Central Park, Podomoro City, JL. Letjend S. Parman Kav. 28, Jakarta, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0818-954-689,11,4.6
Flashdisk Promosi Indonesia,"Jl. Tj. Duren Utara VII No.417 3, RT.3/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0819-3228-8828,,
Intan Agtaprima. PT,"Jl. Tanjung Duren Raya No.135B, RT.1/RW.3, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 5683729,6,4.2
RAVINTOLA,"Perkantoran Grenvil Maisonette Blok FB/16, Tanjung Duren, Duri Kepa, Kebon Jeruk, RT.13/RW.9, Duri Kepa, DKI Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510",,No,0812-8000-9230,19,4.6
PT Kamoro Maxima Integra,"Podomoro City Garden Shopping Arcade Blok B/8 DH, Jl. Letjen S. Parman No.9, RT.9/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",kamoro.com,Yes,(021) 56968510,,
Onesia Nusantara Evolusioner,"Soho capital, Jl. Letjen S. Parman No.Kav.28, Tj. Duren Sel., Tanjung duren selatan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0812-1982-2019,20,5.0
Qampus,"APL Office Tower, 35th floor Suite 7, Jl. Letjen S. Parman No.Kav 28, RT.3/RW.8, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 29670633,3,3.7
Ryuko Network Technology,"Jl. Tanjung Duren Raya No.3F, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0812-7608-9730,,
CODE.ID (PT. Code Development Indonesia),"APL Tower Central Park Lt. 30, Kav. 28, RT.3/RW.5, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",code.id,Yes,(021) 29339528,59,4.7
PT Antares Global Teknologi,"Letjen S. Parman St No.28, RT.15/RW.7, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",,No,,3,5.0
PT Ganesha Sakti Abadi,"10, Jl. Tanjung Duren Raya No.87, RT.10/RW.2, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0895-1997-9264,,
PT. MEDIA CENTRAL BISNIS,"Gedung SOHO CAPITAL, Lantai 32, No 7, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0813-8110-2532,,
Mapia Tanjung Duren,"Jl. Tanjung Duren Raya No.89B, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 23096950,,
Verihubs,"CN, Ruko Garden Shopping Arcade 2 No. B/09, Jl. Letjen S. Parman No.Kav.28, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Daerah Khusus Ibukota Jakarta 11470",,No,,6,5.0
PT. JOERNY TECHLABS INDONESIA,"Mediterania Garden 1 Tower BC Ground Floor #05-B Jl. Tanjung Duren Raya No.Kav 5-9, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 35761838,,
Maestro Graph,"Jl. Tanjung Duren Raya No.5C 1, RT.1/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,,3,4.0
