name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Multi Indo Panels,"Jl. Letjen S. Parman Jl. G No.Kav 62-63 8, RT.8/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,(021) 5306040,,
Java Mutlimedia International,"Le Orchid, A9 Jl. Anggrek Cendrawasih V No.7, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,0812-2681-1130,,
Hutan Kusuma. PT,"Jl Letjen S Parman Kav 67 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.10/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,(021) 5306448,,
Pt. Integrasi Data Nusantara,"No. 12 A, Jl. Anggrek Rosliana, RT.9/RW.3, Kemanggisan, Palmerah, West Jakarta City, Jakarta 11480",,,,1,5.0
PT Septi Duta Insan,"Grand Slipi Tower, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450",,,0812-6888-8239,1,5.0
PD Citra Rahayu Konveksi Jakarta,"Jl. Ks. Tubun III Dalam No.3 10, RT.3/RW.7, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,0856-9744-5994,1,5.0
Haru Setia Prima Slipi,"Jl. G1 rt.005/03 no.29, RT.5/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,No,0813-9828-7202,23,4.9
PT Sinomast Mining Technology,"Graha Indramas, Jl. K.S. Tubun No.77 Lantai 2, RT.14/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,(021) 53673273,,
PT. Duta Putra Service,"Jl. Aipda KS Tubun IV 1 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.2/RW.4, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11410",,,(021) 5493228,,
INSAN people group,"Grand Slipi Tower, Jl. Letjen S. Parman No.1 1, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,(021) 29022551,,
CODACO,"Grand Slipi Tower, kav.22-24, Jl. Letjen S. Parman, RT.1/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,(021) 29222965,1,4.0
JBD Holdings Inc - Jakarta,"Grand Slipi Tower, Jalan Jend. S. Parman No.22-24 LT. 47, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,(021) 5362977,,
Hidup Selaras Sejati,"Komplek Grawisa, RT.5/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,(021) 5662864,1,5.0
GABI,"Grand Slipi Tower, Letjen S. Parman St No.1 Lt. 35, RT.1/RW.4, Palmerah, West Jakarta City, Jakarta 11480",,,(021) 50111319,,
TIKOMTEK,"Grand Slipi Tower Lt. 42 Unit 22 GH, Jl. Letjen S. Parman No.1 4, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,0812-9161-0013,1,5.0
BETZ BABY,"Jl. Moh. Saleh, RT.5/RW.2, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,,0821-2876-5847,,
PEMPEK FROZEN SLIPI,"Jl. Anggrek Neli Murni II No.Blok C, RT.10/RW.1, Kemanggisan, Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,0815-8827-314,1,5.0
