name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
PT Lembah Serayu,"Jl. Petojo Binatu II No.30A, RT.4/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",ptlembahserayu.com,Yes,0813-2000-7101,94,4.9
Sumber Jabaru Sakti Paper,"Jl. Suryopranoto No.2 12A, RT.2/RW.8, North Petojo, Gambir, Central Jakarta City, Jakarta 10130",,,(021) 3863366,,
PT. Carleton Bhakti Indonesia,"Jl. Musi No.32, RT.11/RW.2, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",,,,3,4.0
Mitradaya Alam Sejahtera,"Jl. Majapahit No.26G 14, RT.14/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,,(021) 3501150,,
PT. Pabrik Kertas Noore Indonesia,"Jl. Hayam Wuruk No.5B / 5 6, RT.6/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",,No,(021) 3811959,8,4.0
PT. Airindo Mitra Utama,"Apartment Istana Harmoni, Komplek Jl. Suryopranoto No.2 Unit 2U Komplek, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,No,(021) 63870678,,
PT. Biztrips Teknologi Multimedia Solusi,"Jl. Tanah Abang I No. 11 F, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",biztrips.international,Yes,,,
A Ismail Co Ltd NV,"Jl. Kebon Sirih No.46, RT.11/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",,,(021) 31925181,,
Inayah Toner - Tinta Printer,"Prapatan Harmoni, Jl. Suryopranoto, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",,,0812-1816-0881,6,5.0
Hydrotech Machinery Indonesia. PT,"JL. Batu Ceper, No. 51 A, Gambir, 10120, RT.15/RW.1, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",,No,(021) 3861155,4,4.5
